,Runs / Game,Games,At Bats,Hits,Doubles,Triples,Home Runs,Runs Batted In,Walks,Strike Outs,Stolen Bases,Caught Stelaing,Batting Average,On Base Percentage,Slugging Percentage,On Base Plus Slugging Percentage,Plate Appearences,Hit by Pitches,Sacrifice Bunts,Sacrifice Flies,Double Plays,Ground outs,Ground outs / fly outs,Total bases,intentional Walks,Batting average on balls in play,At bats / home run
Baltimore Orioles,4.18,144,4828,1160,243,14,178,577,406,1273,51,20,0.24,0.305,0.407,0.712,5334,56,13,29,92,1150,0.89,1965,9,0.288,27.12
Detroit Tigers,4.37,146,4849,1172,211,34,167,616,440,1383,72,23,0.242,0.307,0.403,0.709,5386,35,16,44,96,1137,0.93,1952,7,0.301,29.04
St. Louis Cardinals,4.15,144,4768,1143,227,20,163,577,430,1191,76,21,0.24,0.311,0.398,0.709,5343,76,33,34,85,1170,0.88,1899,29,0.284,29.25
Chicago Cubs,4.29,145,4746,1102,196,24,190,592,430,1428,64,33,0.232,0.305,0.404,0.709,5316,79,34,25,113,1170,1.06,1916,15,0.289,24.98
New York Mets,3.97,146,4686,1117,204,12,161,549,456,1245,48,24,0.238,0.316,0.39,0.706,5283,88,31,22,109,1202,1.02,1828,21,0.29,29.11
Cleveland Indians,4.34,143,4711,1106,217,20,180,596,413,1229,96,13,0.235,0.302,0.404,0.706,5227,53,19,29,92,1221,1.01,1903,18,0.278,26.17
Kansas City Royals,4.24,144,4833,1189,211,24,151,577,374,1140,109,28,0.246,0.304,0.393,0.697,5336,48,29,45,90,1271,0.97,1901,8,0.289,32.01
Arizona Diamondbacks,4.19,145,4913,1157,272,28,129,578,484,1313,36,12,0.235,0.309,0.381,0.69,5506,51,30,24,87,1212,0.94,1872,21,0.294,38.08
Seattle Mariners,4.25,146,4813,1077,200,8,181,597,483,1371,59,21,0.224,0.301,0.381,0.682,5399,60,8,33,80,1116,0.87,1836,7,0.272,26.59
Miami Marlins,3.95,146,4843,1138,211,20,143,551,411,1408,101,25,0.235,0.301,0.375,0.677,5378,61,29,28,82,1224,1.08,1818,22,0.3,33.87
Texas Rangers,3.94,144,4810,1113,202,20,155,541,387,1236,88,25,0.231,0.295,0.378,0.673,5297,57,15,28,100,1285,1.05,1820,9,0.278,31.03
Pittsburgh Pirates,3.69,144,4745,1115,218,25,113,499,458,1170,49,23,0.235,0.307,0.363,0.67,5305,45,26,30,84,1283,1.04,1722,18,0.287,41.99
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
